name,eco,fen,moves
Dutch Defense: Korchnoi Attack,A80,rnbqkbnr/ppppp1pp/8/5p2/3P4/7P/PPP1PPP1/RNBQKBNR b KQkq,  d4 f5   h3
Dutch Defense: Krejcik Gambit,A80,rnbqkbnr/ppppp1pp/8/5p2/3P2P1/8/PPP1PP1P/RNBQKBNR b KQkq,  d4 f5   g4
Dutch Defense: Leningrad Variation,A86,rnbqkb1r/ppppp2p/5np1/5p2/2PP4/6P1/PP2PP1P/RNBQKBNR w KQkq,  d4 f5   c4 Nf6   g3 g6
"Dutch Defense: Manhattan Gambit, Anti-Classical Line",A80,rnbqkbnr/pppp2pp/4p3/5p2/3P2P1/3Q4/PPP1PP1P/RNB1KBNR b KQkq,  d4 f5   Qd3 e6   g4
"Dutch Defense: Manhattan Gambit, Anti-Leningrad",A80,rnbqkbnr/ppppp2p/6p1/5p2/3P2P1/3Q4/PPP1PP1P/RNB1KBNR b KQkq,  d4 f5   Qd3 g6   g4
"Dutch Defense: Manhattan Gambit, Anti-Modern",A80,rnbqkbnr/ppp1p1pp/3p4/5p2/3P2P1/3Q4/PPP1PP1P/RNB1KBNR b KQkq,  d4 f5   Qd3 d6   g4
"Dutch Defense: Manhattan Gambit, Anti-Stonewall",A80,rnbqkbnr/ppp1p1pp/8/3p1p2/3P2P1/3Q4/PPP1PP1P/RNB1KBNR b KQkq,  d4 f5   Qd3 d5   g4
Dutch Defense: Normal Variation,A84,rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 f5   c4 Nf6
Dutch Defense: Omega-Isis Gambit,A80,rnbqkbnr/pppp2pp/8/4pp2/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq,  d4 f5   Nf3 e5
Dutch Defense: Queen's Knight Variation,A85,rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq,  d4 f5   c4 Nf6   Nc3
Dutch Defense: Raphael Variation,A80,rnbqkbnr/ppppp1pp/8/5p2/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq,  d4 f5   Nc3
Dutch Defense: Rubinstein Variation,A84,rnbqkbnr/pppp2pp/4p3/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq,  d4 e6   c4 f5   Nc3
Dutch Defense: Semi-Leningrad Variation,A81,rnbqkb1r/ppppp2p/5np1/5p2/3P4/6P1/PPP1PPBP/RNBQK1NR w KQkq,  d4 f5   g3 Nf6   Bg2 g6
Dutch Defense: Senechaud Gambit,A80,rnbqkbnr/pppp2pp/4p3/5p2/3P1BP1/8/PPP1PP1P/RN1QKBNR b KQkq,  d4 e6   Bf4 f5   g4
Dutch Defense: Spielmann Gambit,A80,rnbqkb1r/ppppp1pp/5n2/5p2/3P2P1/2N5/PPP1PP1P/R1BQKBNR b KQkq,  d4 f5   Nc3 Nf6   g4
Dutch Defense: Staunton Gambit,A82,rnbqkbnr/ppppp1pp/8/5p2/3PP3/8/PPP2PPP/RNBQKBNR b KQkq,  d4 f5   e4
Dutch Defense: Staunton Gambit Accepted,A82,rnbqkbnr/ppppp1pp/8/8/3Pp3/8/PPP2PPP/RNBQKBNR w KQkq,  d4 f5   e4 fxe4
"Dutch Defense: Staunton Gambit, American Attack",A82,rnbqkbnr/ppppp1pp/8/8/3Pp3/8/PPPN1PPP/R1BQKBNR b KQkq,  d4 f5   e4 fxe4   Nd2
East Indian Defense,A49,rnbqkb1r/pppppp1p/5np1/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq,  d4 Nf6   Nf3 g6
Elephant Gambit,C40,rnbqkbnr/ppp2ppp/8/3pp3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq,  e4 e5   Nf3 d5
English Defense,A40,rnbqkbnr/p1pppppp/1p6/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 b6
English Defense: Eastbourne Gambit,A40,rn1qkbnr/pbpp1ppp/1p6/4p3/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq,  d4 b6   c4 Bb7   Nc3 e5
English Opening,A10,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq,  c4
English Opening: Achilles-Omega Gambit,A10,rnbqkb1r/pppppppp/5n2/8/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq,  e4 Nf6   c4
English Opening: Adorjan Defense,A10,rnbqkbnr/pppp1p1p/6p1/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq,  c4 g6   e4 e5
English Opening: Agincourt Defense,A13,rnbqkbnr/pppp1ppp/4p3/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq,  c4 e6
"English Opening: Agincourt Defense, Catalan Defense",A13,rnbqkbnr/pp3ppp/4p3/2pp4/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq,  Nf3 d5   c4 e6   g3 c5
"English Opening: Agincourt Defense, Kurajica Defense",A13,rnbqkbnr/pp3ppp/2p1p3/3p4/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq,  Nf3 d5   c4 e6   g3 c6
English Opening: Anglo-Dutch Defense,A10,rnbqkbnr/ppppp1pp/8/5p2/2P5/8/PP1PPPPP/RNBQKBNR w KQkq,  c4 f5
"English Opening: Anglo-Dutch Defense, Hickmann Gambit",A10,rnbqkbnr/ppppp1pp/8/5p2/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq,  c4 f5   e4
"English Opening: Anglo-Dutch Variation, Chabanon Gambit",A10,rnbqkbnr/ppp1p1pp/3p4/5p2/2P1P3/5N2/PP1P1PPP/RNBQKB1R b KQkq,  c4 f5   Nf3 d6   e4
"English Opening: Anglo-Dutch Variation, Ferenc Gambit",A10,rnbqkb1r/ppppp1pp/5n2/5p2/2P1P3/2N5/PP1P1PPP/R1BQKBNR b KQkq,  c4 f5   Nc3 Nf6   e4
English Opening: Anglo-Gruenfeld Defense,A16,rnbqkb1r/ppp1pppp/5n2/3p4/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq,  c4 Nf6   Nc3 d5
English Opening: Anglo-Indian Defense,A15,rnbqkb1r/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq,  c4 Nf6
"English Opening: Anglo-Indian Defense, Gruenfeld Formation",A15,rnbqkb1r/ppp1pp1p/5np1/3p4/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq,  g3 d5   Nf3 g6   c4 Nf6
"English Opening: Anglo-Indian Defense, Hedgehog System",A17,rnbqkb1r/pppp1ppp/4pn2/8/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq,  c4 Nf6   Nc3 e6
"English Opening: Anglo-Indian Defense, King's Indian Formation",A15,rnbqkb1r/pppppp1p/5np1/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq,  Nf3 Nf6   c4 g6
"English Opening: Anglo-Indian Defense, King's Knight Variation",A15,rnbqkb1r/pppppppp/5n2/8/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq,  Nf3 Nf6   c4
"English Opening: Anglo-Indian Defense, Old Indian Formation",A15,rnbqkb1r/ppp1pppp/3p1n2/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq,  Nf3 Nf6   c4 d6
"English Opening: Anglo-Indian Defense, Queen's Indian Formation",A15,rnbqkb1r/p1pppppp/1p3n2/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq,  Nf3 Nf6   c4 b6
"English Opening: Anglo-Indian Defense, Queen's Knight Variation",A16,rnbqkb1r/pppppppp/5n2/8/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq,  c4 Nf6   Nc3
"English Opening: Anglo-Indian Defense, Romanishin Variation",A11,rnbqkb1r/1ppp1ppp/p3pn2/8/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq,  Nf3 Nf6   c4 e6   g3 a6
"English Opening: Anglo-Indian Defense, Scandinavian Defense",A15,rnbqkb1r/ppp1pppp/5n2/3p4/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq,  Nf3 Nf6   c4 d5
"English Opening: Anglo-Indian Defense, Slav Formation",A15,rnbqkb1r/pp1ppp1p/2p2np1/8/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq,  Nf3 Nf6   c4 g6   g3 c6
English Opening: Anglo-Lithuanian Variation,A10,r1bqkbnr/pppppppp/2n5/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq,  c4 Nc6
English Opening: Anglo-Scandinavian Defense,A10,rnbqkbnr/ppp1pppp/8/3p4/2P5/8/PP1PPPPP/RNBQKBNR w KQkq,  c4 d5
"English Opening: Anglo-Scandinavian Defense, Loehn Gambit",A10,rnbqkbnr/ppp2ppp/4p3/3P4/8/8/PP1PPPPP/RNBQKBNR w KQkq,  c4 d5   cxd5 e6
"English Opening: Anglo-Scandinavian Defense, Schulz Gambit",A10,rnbqkb1r/ppp1pppp/5n2/3P4/8/8/PP1PPPPP/RNBQKBNR w KQkq,  c4 d5   cxd5 Nf6
English Opening: Carls-Bremen System,A22,rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq,  c4 e5   Nc3 Nf6   g3
English Opening: Caro-Kann Defensive System,A11,rnbqkbnr/pp1ppppp/2p5/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq,  c4 c6
English Opening: Drill Variation,A20,rnbqkbnr/pppp1pp1/8/4p2p/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq,  c4 e5   g3 h5
English Opening: Great Snake Variation,A10,rnbqkbnr/pppppp1p/6p1/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq,  c4 g6
English Opening: Jaenisch Gambit,A10,rnbqkbnr/p1pppppp/8/1p6/2P5/8/PP1PPPPP/RNBQKBNR w KQkq,  c4 b5
English Opening: King's English Variation,A20,rnbqkbnr/pppp1ppp/8/4p3/2P5/8/PP1PPPPP/RNBQKBNR w KQkq,  c4 e5
"English Opening: King's English Variation, Keres Defense",A21,rnbqkbnr/pp3ppp/2pp4/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq,  c4 e5   Nc3 d6   g3 c6
"English Opening: King's English Variation, Kramnik-Shirov Counterattack",A21,rnbqk1nr/pppp1ppp/8/4p3/1bP5/2N5/PP1PPPPP/R1BQKBNR w KQkq,  c4 e5   Nc3 Bb4
"English Opening: King's English Variation, Nimzowitsch Variation",A20,rnbqkbnr/pppp1ppp/8/4p3/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq,  c4 e5   Nf3
"English Opening: King's English Variation, Nimzowitsch-Flohr Variation",A20,rnbqkbnr/pppp1ppp/8/8/2P1p3/5N2/PP1PPPPP/RNBQKB1R w KQkq,  c4 e5   Nf3 e4
"English Opening: King's English Variation, Reversed Closed Sicilian",A25,r1bqkbnr/pppp1ppp/2n5/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq,  c4 e5   Nc3 Nc6
"English Opening: King's English Variation, Reversed Sicilian",A21,rnbqkbnr/pppp1ppp/8/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq,  c4 e5   Nc3
"English Opening: King's English Variation, Three Knights System",A27,r1bqkbnr/pppp1ppp/2n5/4p3/2P5/2N2N2/PP1PPPPP/R1BQKB1R b KQkq,  c4 e5   Nc3 Nc6   Nf3
"English Opening: King's English Variation, Two Knights Variation",A22,rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq,  c4 e5   Nc3 Nf6
"English Opening: King's English Variation, Two Knights Variation, Fianchetto Line",A24,rnbqkb1r/pppp1p1p/5np1/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq,  c4 e5   Nc3 Nf6   g3 g6
"English Opening: King's English Variation, Two Knights Variation, Keres Variation",A23,rnbqkb1r/pp1p1ppp/2p2n2/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq,  c4 e5   Nc3 Nf6   g3 c6
"English Opening: King's English Variation, Two Knights Variation, Reversed Dragon",A22,rnbqkb1r/ppp2ppp/5n2/3pp3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq,  c4 e5   Nc3 Nf6   g3 d5
"English Opening: King's English, Mazedonisch",A25,rnbqkb1r/pppp1ppp/5n2/4p3/2P2P2/2N5/PP1PP1PP/R1BQKBNR b KQkq,  c4 e5   Nc3 Nf6   f4
English Opening: Mikenas-Carls Variation,A18,rnbqkb1r/pppp1ppp/4pn2/8/2P1P3/2N5/PP1P1PPP/R1BQKBNR b KQkq,  c4 Nf6   Nc3 e6   e4
"English Opening: Mikenas-Carls, Sicilian",A19,rnbqkb1r/pp1p1ppp/4pn2/2p5/2P1P3/2N5/PP1P1PPP/R1BQKBNR w KQkq,  c4 Nf6   Nc3 e6   e4 c5
English Opening: Myers Variation,A10,rnbqk1nr/ppppppbp/8/6p1/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  c4 g5   d4 Bg7
English Opening: Neo-Catalan,A13,rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq,  Nf3 Nf6   c4 e6   g3 d5
English Opening: Symmetrical Variation,A30,rnbqkbnr/pp1ppppp/8/2p5/2P5/8/PP1PPPPP/RNBQKBNR w KQkq,  c4 c5
"English Opening: Symmetrical Variation, Anti-Benoni Variation",A31,rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq,  d4 Nf6   c4 c5   Nf3
"English Opening: Symmetrical Variation, Fianchetto Variation",A34,rnbqkb1r/pp1ppppp/5n2/2p5/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq,  c4 Nf6   Nc3 c5   g3
"English Opening: Symmetrical Variation, Napolitano Gambit",A30,rnbqkb1r/pp1ppppp/5n2/2p5/1PP5/5N2/P2PPPPP/RNBQKB1R b KQkq,  c4 c5   Nf3 Nf6   b4
"English Opening: Symmetrical Variation, Normal Variation",A34,rnbqkbnr/pp1ppppp/8/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq,  c4 c5   Nc3
"English Opening: Symmetrical Variation, Two Knights Variation",A35,r1bqkbnr/pp1ppppp/2n5/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq,  c4 c5   Nc3 Nc6
English Opening: The Whale,C20,rnbqkbnr/pppp1ppp/8/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq,  e4 e5   c4
English Opening: Wade Gambit,A10,rnbqkbnr/ppppp1pp/8/5p2/2P3P1/8/PP1PPP1P/RNBQKBNR b KQkq,  c4 f5   g4
English Opening: Wing Gambit,A30,rnbqkbnr/pp1ppppp/8/2p5/1PP5/8/P2PPPPP/RNBQKBNR b KQkq,  c4 c5   b4
English Opening: Zilbermints Gambit,A10,rnbqkbnr/pppp1p1p/8/4p1p1/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  c4 g5   d4 e5
English Orangutan,A15,rnbqkb1r/pppppppp/5n2/8/1PP5/8/P2PPPPP/RNBQKBNR b KQkq,  c4 Nf6   b4
Englund Gambit,A40,rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 e5
Englund Gambit Complex Declined,A40,rnbqkbnr/pppp1ppp/8/3Pp3/8/8/PPP1PPPP/RNBQKBNR b KQkq,  d4 e5   d5
"Englund Gambit Complex Declined, Diemer Counterattack",A40,rnb1k1nr/pppp1ppp/8/2bPp3/4P2q/8/PPP2PPP/RNBQKBNR w KQkq,  d4 e5   d5 Bc5   e4 Qh4
Englund Gambit Complex: Hartlaub-Charlick Gambit,A40,rnbqkbnr/ppp2ppp/3p4/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 e5   dxe5 d6
Englund Gambit Complex: Mosquito Gambit,A40,rnb1kbnr/pppp1ppp/8/4P3/7q/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 e5   dxe5 Qh4
Englund Gambit Complex: Soller Gambit,A40,rnbqkbnr/pppp2pp/5p2/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 e5   dxe5 f6
"Englund Gambit Declined, Reversed Alekhine",A40,rnbqkbnr/pppp1ppp/8/4p3/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq,  d4 e5   Nf3
"Englund Gambit Declined, Reversed Brooklyn",A40,rnbqkbnr/pppp1ppp/8/8/3Pp3/8/PPP1PPPP/RNBQKBNR b KQkq,  d4 e5   Nf3 e4   Ng1
"Englund Gambit Declined, Reversed French",A40,rnbqkbnr/pppp1ppp/8/4p3/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq,  e3 e5   d4
"Englund Gambit Declined, Reversed Krebs",A40,rnbqkbnr/pppp1ppp/8/8/3Pp3/5N2/PPP1PPPP/RNBQKB1R w KQkq,  d4 e5   Nf3 e4
"Englund Gambit Declined, Reversed Mokele Mbembe",A40,rnbqkbnr/pppp1ppp/8/4N3/3Pp3/8/PPP1PPPP/RNBQKB1R b KQkq,  d4 e5   Nf3 e4   Ne5
Franco-Benoni Defense,A43,rnbqkbnr/pp1p1ppp/4p3/2pP4/4P3/8/PPP2PPP/RNBQKBNR b KQkq,  e4 e6   d4 c5   d5
French Defense,C00,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 e6
French Defense: Advance Variation,C02,rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq,  e4 e6   d4 d5   e5
"French Defense: Advance Variation, Extended Bishop Swap",C02,rn1qkbnr/pppb1ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq,  e4 e6   d4 d5   e5 Bd7
French Defense: Alapin Gambit,C00,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/4B3/PPP2PPP/RN1QKBNR b KQkq,  e4 e6   d4 d5   Be3
French Defense: Baeuerle Gambit,C01,rnbqkbnr/p1pp1ppp/4p3/1p6/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 e6   d4 b5
French Defense: Banzai-Leong Gambit,C00,rnbqkbnr/pppp1ppp/4p3/8/1P2P3/8/P1PP1PPP/RNBQKBNR b KQkq,  e4 e6   b4
"French Defense: Banzai-Leong Gambit, Pinova Gambit",C00,rnbqk1nr/pppp1ppp/4p3/4P3/1b6/8/P1PP1PPP/RNBQKBNR b KQkq,  e4 e6   b4 Bxb4   e5
French Defense: Bird Invitation,C00,rnbqkbnr/pppp1ppp/4p3/1B6/4P3/8/PPPP1PPP/RNBQK1NR b KQkq,  e4 e6   Bb5
French Defense: Chigorin Variation,C00,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPPQPPP/RNB1KBNR b KQkq,  e4 e6   Qe2
French Defense: Classical Variation,C11,rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq,  e4 e6   d4 d5   Nc3 Nf6
French Defense: Diemer-Duhm Gambit,C00,rnbqkbnr/ppp2ppp/4p3/8/2PPp3/8/PP3PPP/RNBQKBNR w KQkq,  d4 d5   c4 e6   e4 dxe4
French Defense: Exchange Variation,C01,rnbqkbnr/ppp2ppp/4p3/3P4/3P4/8/PPP2PPP/RNBQKBNR b KQkq,  e4 e6   d4 d5   exd5
French Defense: Franco-Hiva Gambit,C00,rnbqkbnr/pppp2pp/4p3/5p2/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq,  e4 e6   d3 f5
French Defense: Horwitz Attack,C00,rnbqkbnr/pppp1ppp/4p3/8/4P3/1P6/P1PP1PPP/RNBQKBNR b KQkq,  e4 e6   b3
"French Defense: Horwitz Attack, Papa-Ticulat Gambit",C00,rnbqkbnr/ppp2ppp/4p3/3p4/4P3/1P6/PBPP1PPP/RN1QKBNR b KQkq,  e4 e6   b3 d5   Bb2
French Defense: King's Indian Attack,C00,rnbqkbnr/pppp1ppp/4p3/8/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq,  e4 e6   d3
French Defense: Knight Variation,C00,rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq,  e4 e6   Nf3
French Defense: La Bourdonnais Variation,C00,rnbqkbnr/pppp1ppp/4p3/8/4PP2/8/PPPP2PP/RNBQKBNR b KQkq,  e4 e6   f4
French Defense: Mediterranean Defense,C01,rnbqkb1r/pppp1ppp/4pn2/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 e6   d4 Nf6
French Defense: Morphy Gambit,C01,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/7N/PPP2PPP/RNBQKB1R b KQkq,  e4 e6   d4 d5   Nh3
French Defense: Normal Variation,C00,rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq,  e4 e6   d4
French Defense: Paulsen Variation,C10,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq,  e4 e6   d4 d5   Nc3
French Defense: Pelikan Variation,C00,rnbqkbnr/ppp2ppp/4p3/3p4/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq,  e4 e6   Nc3 d5   f4
French Defense: Perseus Gambit,C01,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq,  e4 e6   d4 d5   Nf3
French Defense: Queen's Knight,C00,rnbqkbnr/pppp1ppp/4p3/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq,  e4 e6   Nc3
French Defense: Reti-Spielmann Attack,C00,rnbqkbnr/pppp1ppp/4p3/8/4P3/6P1/PPPP1P1P/RNBQKBNR b KQkq,  e4 e6   g3
French Defense: Schlechter Variation,C00,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/3B4/PPP2PPP/RNBQK1NR b KQkq,  e4 e6   d4 d5   Bd3
French Defense: Steiner Variation,C00,rnbqkbnr/pppp1ppp/4p3/8/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq,  e4 e6   c4
French Defense: Steinitz Attack,C00,rnbqkbnr/pppp1ppp/4p3/4P3/8/8/PPPP1PPP/RNBQKBNR b KQkq,  e4 e6   e5
French Defense: Tarrasch Variation,C03,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPPN1PPP/R1BQKBNR b KQkq,  e4 e6   d4 d5   Nd2
"French Defense: Tarrasch Variation, Closed Variation",C05,rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq,  e4 e6   d4 d5   Nd2 Nf6
"French Defense: Tarrasch Variation, Guimard Defense",C03,r1bqkbnr/ppp2ppp/2n1p3/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq,  e4 e6   d4 d5   Nd2 Nc6
"French Defense: Tarrasch Variation, Haberditz Variation",C03,rnbqkbnr/ppp3pp/4p3/3p1p2/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq,  e4 e6   d4 d5   Nd2 f5
"French Defense: Tarrasch Variation, Modern System",C03,rnbqkbnr/1pp2ppp/p3p3/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq,  e4 e6   d4 d5   Nd2 a6
"French Defense: Tarrasch Variation, Morozevich Variation",C03,rnbqk1nr/ppp1bppp/4p3/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq,  e4 e6   d4 d5   Nd2 Be7
"French Defense: Tarrasch Variation, Open System",C07,rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq,  e4 e6   d4 d5   Nd2 c5
French Defense: Two Knights Variation,C00,rnbqkbnr/ppp2ppp/4p3/3p4/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq,  e4 e6   Nf3 d5   Nc3
