name,eco,fen,moves
French Defense: Winawer Variation,C15,rnbqk1nr/ppp2ppp/4p3/3p4/1b1PP3/2N5/PPP2PPP/R1BQKBNR w KQkq,  e4 e6   d4 d5   Nc3 Bb4
Fried Fox Defense,B00,rnbq1bnr/pppppkpp/5p2/8/3PP3/8/PPP2PPP/RNBQKBNR w KQ,  e4 f6   d4 Kf7
Gedult's Opening,A00,rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq,  f3
Global Opening,A00,rnbqkbnr/pppp1ppp/8/4p3/8/P6P/1PPPPPP1/RNBQKBNR b KQkq,  h3 e5   a3
Goldsmith Defense,B00,rnbqkbnr/ppppppp1/8/7p/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 h5
Goldsmith Defense: Picklepuss Defense,B00,rnbqkb1r/ppppppp1/5n2/7p/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 h5   d4 Nf6
Grob Opening,A00,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq,  g4
Grob Opening: Alessi Gambit,A00,rnbqkbnr/ppppp1pp/8/5p2/6P1/8/PPPPPP1P/RNBQKBNR w KQkq,  g4 f5
Grob Opening: Double Grob,A00,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq,  g4 g5
"Grob Opening: Double Grob, Coca-Cola Gambit",A00,rnbqkbnr/pppppp1p/8/6p1/5PP1/8/PPPPP2P/RNBQKBNR b KQkq,  g4 g5   f4
Grob Opening: Grob Gambit,A00,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPPBP/RNBQK1NR b KQkq,  g4 d5   Bg2
Grob Opening: Grob Gambit Declined,A00,rnbqkbnr/pp2pppp/2p5/3p4/6P1/8/PPPPPPBP/RNBQK1NR w KQkq,  g4 d5   Bg2 c6
"Grob Opening: Grob Gambit, Basman Gambit",A00,rnbqkbnr/ppp1ppp1/8/3p3P/8/8/PPPPPPBP/RNBQK1NR b KQkq,  g4 d5   Bg2 h5   gxh5
"Grob Opening: Grob Gambit, Fritz Gambit",A00,rn1qkbnr/ppp1pppp/8/3p4/2P3b1/8/PP1PPPBP/RNBQK1NR b KQkq,  g4 d5   Bg2 Bxg4   c4
Grob Opening: Keene Defense,A00,rnbqkbnr/pp3ppp/2p5/3pp3/6P1/7P/PPPPPPB1/RNBQK1NR w KQkq,  g4 d5   h3 e5   Bg2 c6
Grob Opening: London Defense,A00,r1bqkbnr/pppp1ppp/2n5/4p3/6P1/7P/PPPPPP2/RNBQKBNR w KQkq,  g4 e5   h3 Nc6
Grob Opening: Spike Attack,A00,rnbqkbnr/pp2pppp/2p5/3p2P1/8/8/PPPPPPBP/RNBQK1NR b KQkq,  g4 d5   Bg2 c6   g5
"Grob Opening: Spike, Hurst Attack",A00,rnbqkbnr/ppp2ppp/8/3pp3/2P3P1/8/PP1PPPBP/RNBQK1NR b KQkq,  g4 e5   Bg2 d5   c4
Grob Opening: Zilbermints Gambit,A00,rnbqkbnr/ppp1pppp/8/8/4p1P1/2N5/PPPP1P1P/R1BQKBNR b KQkq,  g4 d5   e4 dxe4   Nc3
Gruenfeld Defense,D80,rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq,  d4 Nf6   c4 g6   Nc3 d5
Guatemala Defense,B00,rn1qkbnr/p1pppppp/bp6/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 b6   d4 Ba6
Gunderam Defense,C40,rnb1kbnr/ppppqppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq,  e4 e5   Nf3 Qe7
Hippopotamus Defense,B00,rnbqkb1r/pppppppp/7n/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 Nh6
Horwitz Defense,A40,rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 e6
"Horwitz Defense: Dutch Defense, Bellon Gambit",A84,rnbqkbnr/pppp2pp/4p3/5p2/2PPP3/8/PP3PPP/RNBQKBNR b KQkq,  d4 e6   c4 f5   e4
Horwitz Defense: Zilbermints Gambit,A40,rnbqkbnr/pppp1ppp/8/4p3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  c4 e6   d4 e5
Hungarian Opening,A00,rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq,  g3
Hungarian Opening: Buecker Gambit,A00,rnbqkbnr/ppp2ppp/8/3pp3/1P6/6P1/P1PPPPBP/RNBQK1NR b KQkq,  g3 d5   Bg2 e5   b4
Hungarian Opening: Catalan Formation,A00,rnbqkbnr/ppp2ppp/4p3/3p4/8/6P1/PPPPPPBP/RNBQK1NR w KQkq,  g3 d5   Bg2 e6
Hungarian Opening: Dutch Defense,A00,rnbqkbnr/ppppp1pp/8/5p2/8/6P1/PPPPPP1P/RNBQKBNR w KQkq,  g3 f5
Hungarian Opening: Indian Defense,A00,rnbqkb1r/pppppppp/5n2/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq,  g3 Nf6
Hungarian Opening: Myers Defense,A00,rnbqkbnr/pppppp1p/8/6p1/8/6P1/PPPPPP1P/RNBQKBNR w KQkq,  g3 g5
Hungarian Opening: Reversed Alekhine,A00,rnbqkbnr/pppp1ppp/8/4p3/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq,  g3 e5   Nf3
Hungarian Opening: Reversed Modern Defense,A00,rnbqkbnr/pp2pppp/8/2pp4/8/6P1/PPPPPPBP/RNBQK1NR w KQkq,  g3 d5   Bg2 c5
Hungarian Opening: Reversed Norwegian Defense,A00,rnbqkbnr/pppp1ppp/8/8/4p2N/6P1/PPPPPP1P/RNBQKB1R b KQkq,  g3 e5   Nf3 e4   Nh4
Hungarian Opening: Sicilian Invitation,A00,rnbqkbnr/pp1ppppp/8/2p5/8/6P1/PPPPPP1P/RNBQKBNR w KQkq,  g3 c5
Hungarian Opening: Slav Formation,A00,rnbqkbnr/pp2pppp/2p5/3p4/8/6P1/PPPPPPBP/RNBQK1NR w KQkq,  g3 d5   Bg2 c6
Hungarian Opening: Symmetrical Variation,A00,rnbqkbnr/pppppp1p/6p1/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq,  g3 g6
Hungarian Opening: Van Kuijk Gambit,A00,rnbqkbnr/ppppppp1/8/8/7p/5NP1/PPPPPP1P/RNBQKB1R w KQkq,  g3 h5   Nf3 h4
Hungarian Opening: Wiedenhagen-Beta Gambit,A00,rnbqkbnr/ppp1pp1p/8/3p2p1/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq,  g3 d5   Nf3 g5
Indian Game,A45,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 Nf6
"Indian Game: Anti-Gruenfeld, Adorjan Gambit",E60,rnbqkb1r/p1pppp1p/5np1/1p1P4/2P5/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 g6   d5 b5
"Indian Game: Anti-Gruenfeld, Advance Variation",E60,rnbqkb1r/pppppp1p/5np1/3P4/2P5/8/PP2PPPP/RNBQKBNR b KQkq,  d4 Nf6   c4 g6   d5
"Indian Game: Anti-Gruenfeld, Alekhine Variation",D70,rnbqkb1r/pppppp1p/5np1/8/2PP4/5P2/PP2P1PP/RNBQKBNR b KQkq,  d4 Nf6   c4 g6   f3
"Indian Game: Anti-Gruenfeld, Alekhine Variation, Leko Gambit",D70,rnbqkb1r/pppp1p1p/5np1/4p3/2PP4/5P2/PP2P1PP/RNBQKBNR w KQkq,  d4 Nf6   c4 g6   f3 e5
Indian Game: Anti-Nimzo-Indian,E10,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq,  d4 Nf6   c4 e6   Nf3
Indian Game: Budapest Defense,A51,rnbqkb1r/pppp1ppp/5n2/4p3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 e5
Indian Game: Czech-Indian,A46,rnbqkb1r/pp1ppppp/2p2n2/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq,  d4 Nf6   Nf3 c6
Indian Game: Devin Gambit,E00,rnbqkb1r/pppp1ppp/4pn2/8/2PP2P1/8/PP2PP1P/RNBQKBNR b KQkq,  d4 Nf6   c4 e6   g4
Indian Game: Dzindzi-Indian Defense,E10,rnbqkb1r/1ppp1ppp/p3pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq,  d4 Nf6   c4 e6   Nf3 a6
Indian Game: East Indian Defense,E00,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 e6
"Indian Game: Gedult Attack, Gedult Attack",A45,rnbqkb1r/ppp1pppp/5n2/3p4/3P2P1/5P2/PPP1P2P/RNBQKBNR b KQkq,  d4 Nf6   f3 d5   g4
Indian Game: Gibbins-Wiedenhagen Gambit Accepted,A45,rnbqkb1r/pppppppp/8/8/3P2n1/8/PPP1PP1P/RNBQKBNR w KQkq,  d4 Nf6   g4 Nxg4
"Indian Game: Gibbins-Wiedenhagen Gambit, Oshima Defense",A45,rnbqkb1r/pppp1ppp/5n2/4p3/3P2P1/8/PPP1PP1P/RNBQKBNR w KQkq,  d4 Nf6   g4 e5
"Indian Game: Knights Variation, Alburt-Miles Variation",A46,rnbqkb1r/1ppppppp/p4n2/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq,  d4 Nf6   Nf3 a6
Indian Game: Lazard Gambit,A45,rnbqkb1r/pppp1ppp/5n2/4p3/3P4/8/PPPNPPPP/R1BQKBNR w KQkq,  d4 Nf6   Nd2 e5
Indian Game: London System,A46,rnbqkb1r/pppp1ppp/4pn2/8/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq,  d4 Nf6   Nf3 e6   Bf4
Indian Game: Maddigan Gambit,A45,rnbqkb1r/pppp1ppp/5n2/4p3/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq,  d4 Nf6   Nc3 e5
Indian Game: Medusa Gambit,A50,rnbqkb1r/pppppp1p/5n2/6p1/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 g5
Indian Game: Normal Variation,A50,rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq,  d4 Nf6   c4
Indian Game: Omega Gambit,A45,rnbqkb1r/pppppppp/5n2/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq,  d4 Nf6   e4
"Indian Game: Paleface Attack, Blackmar-Diemer Gambit Deferred",A45,rnbqkb1r/ppp1pppp/5n2/3p4/3PP3/5P2/PPP3PP/RNBQKBNR b KQkq,  d4 Nf6   f3 d5   e4
Indian Game: Pawn Push Variation,A45,rnbqkb1r/pppppppp/5n2/3P4/8/8/PPP1PPPP/RNBQKBNR b KQkq,  d4 Nf6   d5
Indian Game: Polish Variation,A46,rnbqkb1r/p1pppppp/5n2/1p6/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq,  d4 Nf6   Nf3 b5
Indian Game: Przepiorka Variation,A49,rnbqkb1r/pppppp1p/5np1/8/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq,  d4 Nf6   Nf3 g6   g3
Indian Game: Pseudo-Benko,A46,rnbqkb1r/p2ppppp/5n2/1ppP4/8/5N2/PPP1PPPP/RNBQKB1R w KQkq,  d4 Nf6   Nf3 c5   d5 b5
Indian Game: Pyrenees Gambit,A50,rnbqkb1r/p1pppppp/5n2/1p6/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 b5
Indian Game: Reversed Chigorin Defense,A45,rnbqkb1r/pp1ppppp/5n2/2p5/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq,  d4 Nf6   Nc3 c5
Indian Game: Schnepper Gambit,A47,rnbqkb1r/p1pp1ppp/1p3n2/4p3/3P4/2P2N2/PP2PPPP/RNBQKB1R w KQkq,  d4 Nf6   Nf3 b6   c3 e5
Indian Game: Seirawan Attack,E00,rnbqkb1r/pppp1ppp/4pn2/6B1/2PP4/8/PP2PPPP/RN1QKBNR b KQkq,  d4 Nf6   c4 e6   Bg5
Indian Game: Spielmann-Indian,A46,rnbqkb1r/pp1ppppp/5n2/2p5/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq,  d4 Nf6   Nf3 c5
Indian Game: Tartakower Attack,A45,rnbqkb1r/pppppppp/5n2/8/3P4/6P1/PPP1PP1P/RNBQKBNR b KQkq,  d4 Nf6   g3
Indian Game: Wade-Tartakower Defense,A46,rnbqkb1r/ppp1pppp/3p1n2/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq,  d4 Nf6   Nf3 d6
Indian Game: West Indian Defense,E61,rnbqkb1r/pppppp1p/5np1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 g6
Irish Gambit,C44,r1bqkbnr/pppp1ppp/2n5/4N3/4P3/8/PPPP1PPP/RNBQKB1R b KQkq,  e4 e5   Nf3 Nc6   Nxe5
Italian Game,C50,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq,  e4 e5   Nf3 Nc6   Bc4
Kadas Opening,A00,rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq,  h4
Kadas Opening: Beginner's Trap,A00,rnbqkbnr/ppp1pppp/8/3p4/7P/7R/PPPPPPP1/RNBQKBN1 b Qkq,  h4 d5   Rh3
Kadas Opening: Kadas Gambit,A00,rnbqkbnr/pp1ppppp/8/2p5/1P5P/8/P1PPPPP1/RNBQKBNR b KQkq,  h4 c5   b4
Kadas Opening: Myers Variation,A00,rnbqkbnr/pp2pppp/8/2pp4/3PP2P/8/PPP2PP1/RNBQKBNR b KQkq,  h4 d5   d4 c5   e4
Kadas Opening: Schneider Gambit,A00,rnbqkbnr/pppppp1p/8/6p1/7P/8/PPPPPPP1/RNBQKBNR w KQkq,  h4 g5
Kadas Opening: Steinbok Gambit,A00,rnbqkbnr/ppppp1pp/8/8/4p2P/3P4/PPP2PP1/RNBQKBNR b KQkq,  h4 f5   e4 fxe4   d3
Kangaroo Defense,E00,rnbqk1nr/pppp1ppp/4p3/8/1bPP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 e6   c4 Bb4+
"Kangaroo Defense: Keres Defense, Transpositional Variation",E00,rnbqk1nr/pppp1ppp/4p3/8/1bPP4/2N5/PP2PPPP/R1BQKBNR b KQkq,  d4 e6   c4 Bb4+   Nc3
King's Gambit,C30,rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq,  e4 e5   f4
King's Gambit Accepted,C33,rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPP2PP/RNBQKBNR w KQkq,  e4 e5   f4 exf4
"King's Gambit Accepted, Basman Gambit",C33,rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPPQ1PP/RNB1KBNR b KQkq,  e4 e5   f4 exf4   Qe2
"King's Gambit Accepted, Bishop's Gambit",C33,rnbqkbnr/pppp1ppp/8/8/2B1Pp2/8/PPPP2PP/RNBQK1NR b KQkq,  e4 e5   f4 exf4   Bc4
"King's Gambit Accepted, Breyer Gambit",C33,rnbqkbnr/pppp1ppp/8/8/4Pp2/5Q2/PPPP2PP/RNB1KBNR b KQkq,  e4 e5   f4 exf4   Qf3
"King's Gambit Accepted, Carrera Gambit",C33,rnbqkbnr/pppp1ppp/8/7Q/4Pp2/8/PPPP2PP/RNB1KBNR b KQkq,  e4 e5   f4 exf4   Qh5
"King's Gambit Accepted, Dodo Variation",C30,rnbqkbnr/pppp1ppp/8/8/4PpQ1/8/PPPP2PP/RNB1KBNR b KQkq,  e4 e5   f4 exf4   Qg4
"King's Gambit Accepted, Eisenberg Variation",C30,rnbqkbnr/pppp1ppp/8/8/4Pp2/7N/PPPP2PP/RNBQKB1R b KQkq,  e4 e5   f4 exf4   Nh3
"King's Gambit Accepted, Gaga Gambit",C33,rnbqkbnr/pppp1ppp/8/8/4Pp2/6P1/PPPP3P/RNBQKBNR b KQkq,  e4 e5   f4 exf4   g3
"King's Gambit Accepted, King's Knight Gambit",C34,rnbqkbnr/pppp1ppp/8/8/4Pp2/5N2/PPPP2PP/RNBQKB1R b KQkq,  e4 e5   f4 exf4   Nf3
"King's Gambit Accepted, Orsini Gambit",C33,rnbqkbnr/pppp1ppp/8/8/4Pp2/1P6/P1PP2PP/RNBQKBNR b KQkq,  e4 e5   f4 exf4   b3
"King's Gambit Accepted, Paris Gambit",C33,rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPPN1PP/RNBQKB1R b KQkq,  e4 e5   f4 exf4   Ne2
"King's Gambit Accepted, Polerio Gambit",C33,rnbqkbnr/pppp1ppp/8/8/3PPp2/8/PPP3PP/RNBQKBNR b KQkq,  e4 e5   f4 exf4   d4
"King's Gambit Accepted, Schurig Gambit",C33,rnbqkbnr/pppp1ppp/8/1B6/4Pp2/8/PPPP2PP/RNBQK1NR b KQkq,  e4 e5   f4 exf4   Bb5
"King's Gambit Accepted, Stamma Gambit",C33,rnbqkbnr/pppp1ppp/8/8/4Pp1P/8/PPPP2P1/RNBQKBNR b KQkq,  e4 e5   f4 exf4   h4
"King's Gambit Accepted, Tartakower Gambit",C33,rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPPB1PP/RNBQK1NR b KQkq,  e4 e5   f4 exf4   Be2
"King's Gambit Accepted, Tumbleweed",C33,rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPP1KPP/RNBQ1BNR b kq,  e4 e5   f4 exf4   Kf2
King's Gambit Accepted: Schurig Gambit,C33,rnbqkbnr/pppp1ppp/8/8/4Pp2/3B4/PPPP2PP/RNBQK1NR b KQkq,  e4 e5   f4 exf4   Bd3
"King's Gambit Declined, Classical Variation",C30,rnbqk1nr/pppp1ppp/8/2b1p3/4PP2/8/PPPP2PP/RNBQKBNR w KQkq,  e4 e5   f4 Bc5
"King's Gambit Declined, Mafia Defense",C30,rnbqkbnr/pp1p1ppp/8/2p1p3/4PP2/8/PPPP2PP/RNBQKBNR w KQkq,  e4 c5   f4 e5
"King's Gambit Declined, Miles Defense",C30,r1bqkbnr/pppp2pp/2n5/4pp2/4PP2/5N2/PPPP2PP/RNBQKB1R w KQkq,  e4 e5   f4 Nc6   Nf3 f5
"King's Gambit Declined, Norwalde Variation",C30,rnb1kbnr/pppp1ppp/5q2/4p3/4PP2/8/PPPP2PP/RNBQKBNR w KQkq,  e4 e5   f4 Qf6
"King's Gambit Declined, Petrov's Defense",C30,rnbqkb1r/pppp1ppp/5n2/4p3/4PP2/8/PPPP2PP/RNBQKBNR w KQkq,  e4 e5   f4 Nf6
"King's Gambit Declined, Queen's Knight Defense",C30,r1bqkbnr/pppp1ppp/2n5/4p3/4PP2/8/PPPP2PP/RNBQKBNR w KQkq,  e4 e5   f4 Nc6
"King's Gambit Declined, Senechaud Countergambit",C30,rnbqk1nr/pppp1p1p/8/2b1p1p1/4PP2/5N2/PPPP2PP/RNBQKB1R w KQkq,  e4 e5   f4 Bc5   Nf3 g5
"King's Gambit Declined, Zilbermints Double Gambit",C30,r1bqkbnr/pppp1p1p/2n5/4p1p1/4PP2/5N2/PPPP2PP/RNBQKB1R w KQkq,  e4 e5   f4 Nc6   Nf3 g5
King's Gambit Declined: Falkbeer Countergambit,C31,rnbqkbnr/ppp2ppp/8/3pp3/4PP2/8/PPPP2PP/RNBQKBNR w KQkq,  e4 e5   f4 d5
"King's Gambit Declined: Falkbeer, Milner-Barry Variation",C31,rnbqkbnr/ppp2ppp/8/3pp3/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq,  e4 e5   f4 d5   Nc3
King's Gambit Declined: Keene's Defense,C30,rnb1kbnr/pppp1ppp/8/4p3/4PP1q/8/PPPP2PP/RNBQKBNR w KQkq,  e4 e5   f4 Qh4+
"King's Gambit, Falkbeer Countergambit Accepted",C31,rnbqkbnr/ppp2ppp/8/3Pp3/5P2/8/PPPP2PP/RNBQKBNR b KQkq,  e4 e5   f4 d5   exd5
"King's Gambit, Falkbeer Countergambit, Blackburne Attack",C31,rnbqkbnr/ppp2ppp/8/3pp3/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq,  e4 e5   f4 d5   Nf3
"King's Gambit, Falkbeer Countergambit, Hinrichsen Gambit",C31,rnbqkbnr/ppp2ppp/8/3pp3/3PPP2/8/PPP3PP/RNBQKBNR b KQkq,  e4 e5   f4 d5   d4
"King's Gambit, Falkbeer Countergambit, Nimzowitsch-Marshall Countergambit",C31,rnbqkbnr/pp3ppp/2p5/3Pp3/5P2/8/PPPP2PP/RNBQKBNR w KQkq,  e4 e5   f4 d5   exd5 c6
"King's Gambit, Falkbeer Countergambit, Staunton Line",C31,rnbqkbnr/ppp2ppp/8/3P4/4pP2/8/PPPP2PP/RNBQKBNR w KQkq,  e4 e5   f4 d5   exd5 e4
King's Gambit: Panteldakis Countergambit,C30,rnbqkbnr/pppp2pp/8/4pp2/4PP2/8/PPPP2PP/RNBQKBNR w KQkq,  e4 e5   f4 f5
King's Gambit: Zilbermints Double Countergambit,C30,rnbqkbnr/pppp1p1p/8/4p1p1/4PP2/8/PPPP2PP/RNBQKBNR w KQkq,  e4 e5   f4 g5
King's Indian Attack,A07,rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq,  Nf3 d5   g3
King's Indian Attack: Double Fianchetto,A07,rnbqkbnr/ppp1pp1p/6p1/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq,  Nf3 d5   g3 g6
King's Indian Attack: Keres Variation,A07,rn1qkbnr/ppp1pppp/8/3p4/6b1/5NP1/PPPPPP1P/RNBQKB1R w KQkq,  Nf3 d5   g3 Bg4
King's Indian Attack: Omega-Delta Gambit,A07,rnbqkbnr/ppp2ppp/8/3pp3/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq,  Nf3 d5   g3 e5
King's Indian Attack: Sicilian Variation,A07,rnbqkbnr/pp2pppp/8/2pp4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq,  Nf3 d5   g3 c5
King's Indian Attack: Smyslov Variation,A05,rnbqkb1r/pppppp1p/5np1/8/1P6/5NP1/P1PPPP1P/RNBQKB1R b KQkq,  Nf3 Nf6   g3 g6   b4
King's Indian Attack: Spassky Variation,A05,rnbqkb1r/p1pppppp/5n2/1p6/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq,  Nf3 Nf6   g3 b5
King's Indian Attack: Symmetrical Defense,A05,rnbqkb1r/pppppp1p/5np1/8/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq,  Nf3 Nf6   g3 g6
"King's Indian Defense: Fianchetto Variation, Immediate Fianchetto",E60,rnbqkb1r/pppppp1p/5np1/8/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq,  d4 Nf6   c4 g6   g3
"King's Indian Defense: Normal Variation, King's Knight Variation",E60,rnbqkb1r/pppppp1p/5np1/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq,  d4 Nf6   Nf3 g6   c4
King's Knight Opening,C40,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq,  e4 e5   Nf3
King's Knight Opening: Konstantinopolsky,C44,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5NP1/PPPP1P1P/RNBQKB1R b KQkq,  e4 e5   Nf3 Nc6   g3
King's Knight Opening: Normal Variation,C44,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq,  e4 e5   Nf3 Nc6
King's Pawn,B00,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq,  e4
King's Pawn Game,C20,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 e5
King's Pawn Game: Alapin Opening,C20,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPPNPPP/RNBQKB1R b KQkq,  e4 e5   Ne2
King's Pawn Game: Bavarian Gambit,C20,rnbqkbnr/ppp2ppp/8/3pp3/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq,  e4 e5   c4 d5
King's Pawn Game: Beyer Gambit,C21,rnbqkbnr/ppp2ppp/8/3pp3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 e5   d4 d5
King's Pawn Game: Busch-Gass Gambit,C40,rnbqk1nr/pppp1ppp/8/2b1p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq,  e4 e5   Nf3 Bc5
"King's Pawn Game: Clam Variation, King's Gambit Reversed",C20,rnbqkbnr/pppp2pp/8/4pp2/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq,  e4 e5   d3 f5
